Image_Name,Class
v_Forehand_g08_c01.avi_frame0.jpg,Forehand
v_Forehand_g08_c01.avi_frame1.jpg,Forehand
v_Forehand_g08_c01.avi_frame2.jpg,Forehand
v_Forehand_g08_c01.avi_frame3.jpg,Forehand
v_Forehand_g08_c01.avi_frame4.jpg,Forehand
v_Forehand_g08_c01.avi_frame5.jpg,Forehand
v_Forehand_g08_c01.avi_frame6.jpg,Forehand
v_Forehand_g08_c01.avi_frame7.jpg,Forehand
v_Forehand_g08_c01.avi_frame8.jpg,Forehand
v_Forehand_g08_c01.avi_frame9.jpg,Forehand
v_Forehand_g08_c01.avi_frame10.jpg,Forehand
v_Forehand_g08_c01.avi_frame11.jpg,Forehand
v_Forehand_g08_c01.avi_frame12.jpg,Forehand
v_Forehand_g08_c01.avi_frame13.jpg,Forehand
v_Forehand_g08_c01.avi_frame14.jpg,Forehand
v_Forehand_g08_c01.avi_frame15.jpg,Forehand
v_Forehand_g08_c01.avi_frame16.jpg,Forehand
v_Forehand_g08_c01.avi_frame17.jpg,Forehand
v_Forehand_g08_c01.avi_frame18.jpg,Forehand
v_Forehand_g08_c01.avi_frame19.jpg,Forehand
v_Forehand_g08_c01.avi_frame20.jpg,Forehand
v_Forehand_g08_c01.avi_frame21.jpg,Forehand
v_Forehand_g08_c01.avi_frame22.jpg,Forehand
v_Forehand_g08_c01.avi_frame23.jpg,Forehand
v_Forehand_g08_c01.avi_frame24.jpg,Forehand
v_Forehand_g08_c01.avi_frame25.jpg,Forehand
v_Forehand_g08_c01.avi_frame26.jpg,Forehand
v_Forehand_g08_c01.avi_frame27.jpg,Forehand
v_Forehand_g08_c01.avi_frame28.jpg,Forehand
v_Forehand_g08_c01.avi_frame29.jpg,Forehand
v_Forehand_g08_c01.avi_frame30.jpg,Forehand
v_Forehand_g08_c01.avi_frame31.jpg,Forehand
v_Forehand_g08_c01.avi_frame32.jpg,Forehand
v_Forehand_g08_c01.avi_frame33.jpg,Forehand
v_Forehand_g08_c01.avi_frame34.jpg,Forehand
v_Forehand_g08_c01.avi_frame35.jpg,Forehand
v_Forehand_g08_c01.avi_frame36.jpg,Forehand
v_Forehand_g08_c01.avi_frame37.jpg,Forehand
v_Forehand_g08_c01.avi_frame38.jpg,Forehand
v_Forehand_g08_c01.avi_frame39.jpg,Forehand
v_Forehand_g08_c01.avi_frame40.jpg,Forehand
v_Forehand_g08_c01.avi_frame41.jpg,Forehand
v_Forehand_g08_c01.avi_frame42.jpg,Forehand
v_Forehand_g08_c01.avi_frame43.jpg,Forehand
v_Forehand_g08_c01.avi_frame44.jpg,Forehand
v_Forehand_g08_c01.avi_frame45.jpg,Forehand
v_Forehand_g08_c01.avi_frame46.jpg,Forehand
v_Forehand_g08_c01.avi_frame47.jpg,Forehand
v_Forehand_g08_c01.avi_frame48.jpg,Forehand
v_Forehand_g08_c01.avi_frame49.jpg,Forehand
v_Forehand_g08_c01.avi_frame50.jpg,Forehand
v_Forehand_g08_c01.avi_frame51.jpg,Forehand
v_Forehand_g08_c01.avi_frame52.jpg,Forehand
v_Forehand_g08_c01.avi_frame53.jpg,Forehand
v_Forehand_g08_c01.avi_frame54.jpg,Forehand
v_Forehand_g08_c01.avi_frame55.jpg,Forehand
v_Forehand_g08_c01.avi_frame56.jpg,Forehand
v_Forehand_g08_c01.avi_frame57.jpg,Forehand
v_Forehand_g08_c01.avi_frame58.jpg,Forehand
v_Forehand_g08_c01.avi_frame59.jpg,Forehand
v_Forehand_g08_c01.avi_frame60.jpg,Forehand
v_Forehand_g08_c01.avi_frame61.jpg,Forehand
v_Forehand_g08_c01.avi_frame62.jpg,Forehand
v_Forehand_g08_c01.avi_frame63.jpg,Forehand
v_Forehand_g08_c01.avi_frame64.jpg,Forehand
v_Forehand_g08_c01.avi_frame65.jpg,Forehand
v_Forehand_g08_c01.avi_frame66.jpg,Forehand
v_Forehand_g08_c01.avi_frame67.jpg,Forehand
v_Forehand_g08_c01.avi_frame68.jpg,Forehand
v_Forehand_g08_c01.avi_frame69.jpg,Forehand
v_Forehand_g08_c01.avi_frame70.jpg,Forehand
v_Forehand_g08_c01.avi_frame71.jpg,Forehand
v_Forehand_g08_c01.avi_frame72.jpg,Forehand
v_Forehand_g08_c01.avi_frame73.jpg,Forehand
v_Forehand_g08_c01.avi_frame74.jpg,Forehand
v_Forehand_g08_c01.avi_frame75.jpg,Forehand
v_Forehand_g08_c01.avi_frame76.jpg,Forehand
v_Forehand_g08_c01.avi_frame77.jpg,Forehand
v_Forehand_g08_c01.avi_frame78.jpg,Forehand
v_Forehand_g08_c01.avi_frame79.jpg,Forehand
v_Forehand_g08_c01.avi_frame80.jpg,Forehand
v_Forehand_g08_c01.avi_frame81.jpg,Forehand
v_Forehand_g08_c01.avi_frame82.jpg,Forehand
v_Forehand_g08_c01.avi_frame83.jpg,Forehand
v_Forehand_g08_c01.avi_frame84.jpg,Forehand
v_Forehand_g08_c01.avi_frame85.jpg,Forehand
v_Forehand_g08_c01.avi_frame86.jpg,Forehand
v_Forehand_g08_c01.avi_frame87.jpg,Forehand
v_Forehand_g08_c01.avi_frame88.jpg,Forehand
v_Forehand_g08_c01.avi_frame89.jpg,Forehand
v_Forehand_g08_c01.avi_frame90.jpg,Forehand
v_Forehand_g08_c01.avi_frame91.jpg,Forehand
v_Forehand_g08_c01.avi_frame92.jpg,Forehand
v_Forehand_g08_c01.avi_frame93.jpg,Forehand
v_Forehand_g08_c01.avi_frame94.jpg,Forehand
v_Forehand_g08_c01.avi_frame95.jpg,Forehand
v_Forehand_g08_c01.avi_frame96.jpg,Forehand
v_Forehand_g08_c01.avi_frame97.jpg,Forehand
v_Forehand_g08_c01.avi_frame98.jpg,Forehand
v_Forehand_g08_c01.avi_frame99.jpg,Forehand
v_Forehand_g08_c01.avi_frame100.jpg,Forehand
v_Forehand_g08_c01.avi_frame101.jpg,Forehand
v_Forehand_g08_c01.avi_frame102.jpg,Forehand
v_Forehand_g08_c01.avi_frame103.jpg,Forehand
v_Forehand_g08_c01.avi_frame104.jpg,Forehand
v_Forehand_g08_c01.avi_frame105.jpg,Forehand
v_Forehand_g08_c01.avi_frame106.jpg,Forehand
v_Forehand_g08_c01.avi_frame107.jpg,Forehand
v_Forehand_g08_c01.avi_frame108.jpg,Forehand
v_Forehand_g08_c01.avi_frame109.jpg,Forehand
v_Forehand_g08_c01.avi_frame110.jpg,Forehand
v_Forehand_g08_c01.avi_frame111.jpg,Forehand
v_Forehand_g08_c01.avi_frame112.jpg,Forehand
v_Forehand_g08_c01.avi_frame113.jpg,Forehand
v_Forehand_g08_c01.avi_frame114.jpg,Forehand
v_Forehand_g08_c01.avi_frame115.jpg,Forehand
v_Forehand_g08_c01.avi_frame116.jpg,Forehand
v_Forehand_g08_c01.avi_frame117.jpg,Forehand
v_Forehand_g08_c01.avi_frame118.jpg,Forehand
v_Forehand_g08_c01.avi_frame119.jpg,Forehand
v_Forehand_g08_c01.avi_frame120.jpg,Forehand
v_Forehand_g08_c01.avi_frame121.jpg,Forehand
v_Forehand_g08_c01.avi_frame122.jpg,Forehand
v_Forehand_g08_c01.avi_frame123.jpg,Forehand
v_Forehand_g08_c01.avi_frame124.jpg,Forehand
v_Forehand_g08_c01.avi_frame125.jpg,Forehand
v_Forehand_g08_c01.avi_frame126.jpg,Forehand
v_Forehand_g08_c01.avi_frame127.jpg,Forehand
v_Forehand_g08_c01.avi_frame128.jpg,Forehand
v_Forehand_g08_c01.avi_frame129.jpg,Forehand
v_Forehand_g08_c01.avi_frame130.jpg,Forehand
v_Forehand_g08_c01.avi_frame131.jpg,Forehand
v_Forehand_g08_c01.avi_frame132.jpg,Forehand
v_Forehand_g08_c01.avi_frame133.jpg,Forehand
v_Forehand_g08_c01.avi_frame134.jpg,Forehand
v_Forehand_g08_c01.avi_frame135.jpg,Forehand
v_Forehand_g08_c01.avi_frame136.jpg,Forehand
v_Forehand_g08_c01.avi_frame137.jpg,Forehand
v_Forehand_g08_c01.avi_frame138.jpg,Forehand
v_Forehand_g08_c01.avi_frame139.jpg,Forehand
v_Forehand_g08_c01.avi_frame140.jpg,Forehand
v_Forehand_g08_c01.avi_frame141.jpg,Forehand
v_Forehand_g08_c01.avi_frame142.jpg,Forehand
v_Forehand_g08_c01.avi_frame143.jpg,Forehand
